id,book_id,content,location,created_at
1,1,"In the beginner’s mind there are many possibilities, but in the expert’s mind there are few.",Page 5,2026-01-11 17:51:06
2,1,"“The cowards never started,” he’d tell me, “and the weak died along the way—that leaves us.”",Page 6,2026-01-11 17:51:06
3,1,"I wanted to leave a mark on the world. I wanted to win. No, that’s not right. I simply didn’t want to lose.",Page 8,2026-01-11 17:51:06
4,1,"What   remains,   however,   is   this   one   comforting   certainty,   this   one anchoring truth that will never go away. At twenty-four I   did   have a Crazy Idea, and somehow, despite being dizzy with existential angst, and fears about the future, and doubts about myself, as all young men and women in their midtwenties are, I   did   decide that the world is made up of crazy ideas. History is one long processional of crazy ideas. The things I loved most— books, sports, democracy, free   enterprise—started as crazy ideas.",Page 9,2026-01-11 17:51:06
5,1,"So that morning in 1962 I told myself: Let everyone else call your idea crazy . . . just keep going. Don’t stop. Don’t even think about stopping until you get there, and don’t give much thought to where “there” is. Whatever comes, just don’t stop. That’s the precocious, prescient, urgent advice I managed to give myself, out of the blue, and somehow managed to take. Half a century later, I believe it’s the best advice—maybe the only advice—any of us should ever give.",Page 10,2026-01-11 17:51:06
6,1,"Now, here, you see, it takes all the running  you can do, to keep in the same place. If you want to get somewhere else, you must run at least twice as fast as that.",Page 11,2026-01-11 17:51:06
7,1,"He was easy to talk to, and easy not to talk to—equally important qualities in a friend. Essential in a travel companion.",Page 18,2026-01-11 17:51:06
8,1,"But first I’d need to change my whole approach. I was a linear thinker, and according to Zen linear thinking is nothing but a delusion, one of the many that keep us unhappy. Reality is nonlinear, Zen says. No future, no past. All is now. In every religion, it seemed, self is the obstacle, the enemy. And yet Zen declares plainly that the self doesn’t exist. Self is a mirage, a fever dream, and our stubborn belief in its reality not only wastes life, but shortens it. Self is the bald-faced lie we tell ourselves daily, and happiness requires seeing through the lie, debunking it.   To study the self,   said the thirteenth-century Zen master Dogen,   is to forget the self.   Inner voice, outer voices, it’s all the same. No dividing lines.",Page 25,2026-01-11 17:51:06
9,1,"None micromanaged.   Don’t tell people how to do things, tell them what to do and let them surprise you with their results.   So I didn’t answer",Page 89,2026-01-11 17:51:06
10,1,Fail fast.,Page 93,2026-01-11 17:51:06
11,1,"“No brilliant idea was ever born in a conference room,” he assured the Dane. “But a lot of silly ideas have died there,” said Stahr.",Page 262,2026-01-11 17:51:06
12,1,You are remembered  for the rules you break.,Page 275,2026-01-11 17:51:06
